title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq5810;size=1;	Uniq0023;size=35;	NOISY VARIANT	0	0	0
Uniq5814;size=1;	Uniq0023;size=35;	NOISY VARIANT	2	4	0
Uniq0023;size=35;	*	VARIANT	*	*	*
Uniq0685;size=4;	Uniq0024;size=34;	NOISY VARIANT	2	4	1
Uniq1062;size=2;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq1231;size=2;	Uniq0024;size=34;	NOISY VARIANT	2	2	0
Uniq1420;size=2;	Uniq0024;size=34;	NOISY VARIANT	2	2	0
Uniq1444;size=2;	Uniq0024;size=34;	NOISY VARIANT	4	0	0
Uniq1471;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	4	1
Uniq1638;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq1647;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq1663;size=1;	Uniq0024;size=34;	NOISY VARIANT	4	0	0
Uniq1695;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq1749;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq1794;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq2019;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	4	0
Uniq2397;size=1;	Uniq0024;size=34;	NOISY VARIANT	1	3	0
Uniq2518;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	1
Uniq2540;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq2769;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	1
Uniq2859;size=1;	Uniq0024;size=34;	NOISY VARIANT	2	4	0
Uniq3010;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq3177;size=1;	Uniq0024;size=34;	NOISY VARIANT	4	4	0
Uniq3187;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq3266;size=1;	Uniq0024;size=34;	NOISY VARIANT	3	3	0
Uniq3279;size=1;	Uniq0024;size=34;	NOISY VARIANT	0	0	0
